               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 146,            0.023785,            0.021171,           0.0042447,             0.86363,             0.79041,             0.83854,             0.64119,            0.032305,            0.016309,            0.021902,           0.0057355,           0.0057355,           0.0057355
                 147,            0.026367,            0.021677,           0.0050685,             0.85024,             0.78665,             0.81985,             0.60832,             0.03311,            0.016311,            0.022633,           0.0056884,           0.0056884,           0.0056884
                 148,            0.023537,            0.021114,           0.0068198,              0.8649,             0.80867,             0.85039,             0.65483,            0.030634,            0.015905,             0.02114,           0.0056413,           0.0056413,           0.0056413
                 149,            0.022883,            0.022457,            0.004483,             0.85642,             0.80667,             0.84887,             0.64879,            0.028744,            0.015722,            0.021269,           0.0055942,           0.0055942,           0.0055942
                 150,            0.025052,            0.021317,           0.0060862,             0.86602,             0.77923,             0.84305,             0.64819,            0.030467,            0.015452,            0.020534,           0.0055471,           0.0055471,           0.0055471
                 151,            0.027915,            0.022706,           0.0038173,             0.89976,             0.77801,             0.85308,             0.63785,            0.031509,            0.015629,            0.021264,              0.0055,              0.0055,              0.0055
                 152,            0.023226,            0.022165,           0.0050959,             0.88744,             0.79037,             0.86054,             0.67359,            0.031557,            0.015148,             0.02204,           0.0054529,           0.0054529,           0.0054529
                 153,            0.021943,            0.022347,           0.0036283,             0.92722,             0.79678,             0.87607,             0.69937,            0.030359,            0.014763,            0.020196,           0.0054058,           0.0054058,           0.0054058
                 154,            0.026267,            0.021191,            0.004852,              0.8832,              0.8425,             0.87759,             0.66415,            0.032745,            0.014971,            0.019776,           0.0053587,           0.0053587,           0.0053587
                 155,            0.027039,            0.020382,           0.0061668,             0.86124,             0.86664,             0.88275,             0.68956,            0.030963,            0.015086,            0.018489,           0.0053116,           0.0053116,           0.0053116
                 156,            0.023178,            0.020927,           0.0044271,             0.88552,             0.84141,             0.88621,             0.70019,            0.031736,            0.014776,            0.016884,           0.0052645,           0.0052645,           0.0052645
                 157,            0.022605,            0.022952,           0.0044568,             0.90757,             0.83263,             0.88907,             0.70552,            0.031976,            0.014516,            0.016099,           0.0052174,           0.0052174,           0.0052174
                 158,             0.02305,            0.021295,           0.0037853,             0.88019,             0.85677,             0.89108,             0.70796,            0.031352,            0.014715,            0.017225,           0.0051704,           0.0051704,           0.0051704
